batch,trial,file,track_id,view_png,reason,total_obs_count,peak_z_smoothed,net_drop_from_peak,avg_descent_speed,recent_velocity,recent_accel,z_max_ever,z_min_ever,avg_pts,max_pts,rebound_penalized,suggested_label,suggested_note,label,label_note
drop_test_20260715_mindescent2_adaptivejump,4,record_20260715_164450.json,2,drop_test_20260715_mindescent2_adaptivejump/trial4_view.png,peak=0.49m  descent=2f  drop=0.43m  avg_v=2.15m/s,3,0.4913,0.4307,2.1536,-1.7169,7.7114,0.4914,0.0709,15.0,35,False,,,,
drop_test_20260715_mindescent2_adaptivejump,4,record_20260715_164450.json,1,drop_test_20260715_mindescent2_adaptivejump/trial4_view.png,freefall 3f  accel=-11.0m/s²  v=-0.81m/s,3,-0.4279,0.1368,0.684,-0.8061,-16.4821,-0.4263,-0.5875,11.0,22,False,,,0,
drop_test_20260715_mindescent2_adaptivejump,4,record_20260715_164450.json,4,drop_test_20260715_mindescent2_adaptivejump/trial4_view.png,peak=0.39m  descent=2f  drop=0.85m  avg_v=2.85m/s,3,0.3901,0.8546,2.8487,-1.1783,22.1111,0.3902,-0.4055,6.6667,9,False,,,1,
drop_test_20260716_narrow_roi,1,record_20260716_150644.json,1,drop_test_20260716_narrow_roi/trial1_view.png,peak=0.57m  descent=2f  drop=0.40m  avg_v=2.00m/s,3,0.5719,0.3999,1.9994,-2.4044,-6.7889,0.572,0.159,5.0,9,False,,,1,
drop_test_20260716_narrow_roi,2,record_20260716_150700.json,2,drop_test_20260716_narrow_roi/trial2_view.png,freefall 3f  accel=-5.0m/s²  v=-2.72m/s,3,0.3267,0.4841,2.4206,-2.7224,-4.9819,0.3268,-0.1679,28.0,48,False,,,1,
drop_test_20260716_narrow_roi,3,record_20260716_150710.json,2,drop_test_20260716_narrow_roi/trial3_view.png,peak=0.52m  descent=2f  drop=0.47m  avg_v=2.34m/s,3,0.5177,0.4685,2.3424,-2.7319,-6.493,0.5178,0.0364,14.0,29,False,,,,
drop_test_20260716_narrow_roi,3,record_20260716_150710.json,5,drop_test_20260716_narrow_roi/trial3_view.png,peak=0.49m  descent=2f  drop=0.64m  avg_v=3.20m/s,3,0.4902,0.6409,3.2043,-5.3208,-36.1435,0.4903,-0.2124,15.6667,28,False,,,1,
drop_test_20260716_narrow_roi,3,record_20260716_150710.json,4,drop_test_20260716_narrow_roi/trial3_view.png,freefall 3f  accel=-16.3m/s²  v=-2.42m/s,3,0.4374,0.1744,1.744,-2.4192,-24.4958,0.4374,0.1955,9.6667,24,False,,,0,
drop_test_20260716_narrow_roi,4,record_20260716_150721.json,3,drop_test_20260716_narrow_roi/trial4_view.png,peak=0.46m  descent=2f  drop=0.38m  avg_v=1.89m/s,3,0.4639,0.3786,1.8929,-1.6956,3.5659,0.464,0.0892,9.0,14,False,,,1,
drop_test_20260716_narrow_roi,5,record_20260716_150733.json,2,drop_test_20260716_narrow_roi/trial5_view.png,freefall 3f  accel=-9.6m/s²  v=-1.97m/s,3,0.5212,0.2814,1.4071,-1.9714,-9.581,0.5213,0.2229,5.3333,7,False,,,1,
drop_test_20260716_narrow_roi,5,record_20260716_150733.json,1,drop_test_20260716_narrow_roi/trial5_view.png,freefall 3f  accel=-3.2m/s²  v=-0.68m/s,4,-0.4999,0.2299,0.5747,-0.6796,-9.5458,-0.503,-0.7748,4.0,6,False,,,0,
drop_test_20260717_freefall_validation,1,record_20260717_150541.json,1,drop_test_20260717_freefall_validation/trial1_view.png,freefall 3f  accel=-10.4m/s²  v=-1.04m/s,5,0.0545,0.0807,0.2019,-1.041,-10.41,0.0545,-0.0631,4.4,10,False,,,0,
drop_test_20260717_freefall_validation,2,record_20260717_150557.json,2,drop_test_20260717_freefall_validation/trial2_view.png,freefall 3f  accel=-8.3m/s²  v=-1.78m/s,3,0.1705,0.2591,1.2954,-1.7833,-8.2833,0.1705,-0.1033,4.0,6,False,,,1,
drop_test_20260717_freefall_validation,3,record_20260717_150609.json,4,drop_test_20260717_freefall_validation/trial3_view.png,freefall 3f  accel=-12.7m/s²  v=-2.82m/s,3,-0.1211,0.4143,2.0714,-2.8193,-12.6978,-0.1211,-0.558,10.6667,15,False,,,1,
drop_test_20260717_freefall_validation,4,record_20260717_150622.json,1,drop_test_20260717_freefall_validation/trial4_view.png,freefall 3f  accel=-7.5m/s²  v=-2.79m/s,4,0.153,0.6363,2.121,-2.7916,-7.5133,0.153,-0.5106,10.75,19,False,,,1,
drop_test_20260717_gravity_gating,1,record_20260717_162131.json,1,drop_test_20260717_gravity_gating/trial1_view.png,freefall 3f  accel=-13.6m/s²  v=-3.91m/s,3,0.1332,0.2347,2.3469,-3.9122,-40.6967,0.1332,-0.258,4.3333,9,False,,,,
drop_test_20260717_gravity_gating,2,record_20260717_162141.json,1,drop_test_20260717_gravity_gating/trial2_view.png,freefall 3f  accel=-13.3m/s²  v=-3.38m/s,3,0.117,0.7853,2.6178,-3.3825,-20.0,0.117,-0.6978,3.3333,4,False,,,1,
drop_test_20260717_gravity_gating,3,record_20260717_162151.json,1,drop_test_20260717_gravity_gating/trial3_view.png,freefall 3f  accel=-12.9m/s²  v=-1.16m/s,3,0.0551,0.094,0.9402,-1.1553,-12.87,0.0553,-0.0602,7.3333,10,False,,,,
drop_test_20260717_gravity_gating,4,record_20260717_162205.json,1,drop_test_20260717_gravity_gating/trial4_view.png,freefall 3f  accel=-12.0m/s²  v=-2.45m/s,3,0.219,0.3492,1.7459,-2.455,-12.05,0.219,-0.1515,2.0,2,False,,,1,
drop_test_20260720_freefall_direction_review,1,record_20260720_182704.json,2,drop_test_20260720_freefall_direction_review/trial1_view.png,freefall 3f  accel=-12.9m/s²  v=-2.97m/s,3,0.3404,0.4486,1.4953,-2.9661,-19.3611,0.3405,-0.1621,8.6667,18,False,,,1,
drop_test_20260720_freefall_direction_review,2,record_20260720_182716.json,2,drop_test_20260720_freefall_direction_review/trial2_view.png,peak=0.64m  descent=2f  drop=0.47m  avg_v=2.34m/s,3,0.6362,0.4671,2.3357,-1.0717,21.9667,0.6363,0.2023,8.3333,18,False,,,1,
drop_test_20260720_freefall_direction_review,4,record_20260720_182746.json,7,drop_test_20260720_freefall_direction_review/trial4_view.png,freefall 3f  accel=-4.3m/s²  v=-1.26m/s,3,0.9678,0.3052,0.7629,-1.257,-8.52,0.968,0.6356,3.3333,5,False,,,,
drop_test_20260720_mot_review,1,record_20260720_164207.json,2,drop_test_20260720_mot_review/trial1_view.png,freefall 3f  accel=-8.6m/s²  v=-2.28m/s,3,0.313,0.3537,1.7687,-2.277,-8.5917,0.3131,-0.0564,19.6667,24,False,,,1,
drop_test_20260720_mot_review,3,record_20260720_164231.json,2,drop_test_20260720_mot_review/trial3_view.png,freefall 3f  accel=-16.7m/s²  v=-3.10m/s,3,0.2842,0.4241,2.1207,-3.1024,-16.7083,0.2842,-0.1691,13.3333,21,False,,,1,
drop_test_20260720_mot_review,4,record_20260720_164242.json,2,drop_test_20260720_mot_review/trial4_view.png,freefall 3f  accel=-8.8m/s²  v=-2.55m/s,3,0.2925,0.6135,2.0451,-2.5516,-13.2242,0.2925,-0.3407,11.0,13,False,,,1,
drop_test_20260720_mot_review,5,record_20260720_164259.json,2,drop_test_20260720_mot_review/trial5_view.png,freefall 3f  accel=-10.5m/s²  v=-2.17m/s,3,0.2916,0.3101,1.5506,-2.1663,-10.4573,0.2916,-0.0371,15.6667,21,False,,,1,
drop_with_hanging_objects_20260721,1,record_20260721_105338.json,2,drop_with_hanging_objects_20260721/trial1_view.png,peak=0.79m  descent=2f  drop=0.75m  avg_v=1.08m/s,3,0.7906,0.7528,1.0754,0.5706,25.166,0.7908,0.0123,5.0,8,False,,,0,
drop_with_hanging_objects_20260721,1,record_20260721_105338.json,1,drop_with_hanging_objects_20260721/trial1_view.png,freefall 3f  accel=-9.2m/s²  v=-2.31m/s,9,0.4308,0.1598,0.1997,-2.3117,-22.975,0.4115,-0.045,4.5556,12,False,,,0,
drop_with_hanging_objects_20260721,2,record_20260721_105349.json,2,drop_with_hanging_objects_20260721/trial2_view.png,freefall 3f  accel=-11.7m/s²  v=-0.77m/s,3,0.2726,0.0575,0.5752,-0.774,-11.73,0.2734,0.196,3.3333,5,False,,,0,
drop_with_hanging_objects_20260721,2,record_20260721_105349.json,3,drop_with_hanging_objects_20260721/trial2_view.png,freefall 3f  accel=-12.4m/s²  v=-2.30m/s,4,0.4577,0.7581,1.8952,-2.3012,-37.1161,0.4703,-0.4501,4.75,7,False,,,,
drop_with_hanging_objects_20260721,3,record_20260721_105403.json,1,drop_with_hanging_objects_20260721/trial3_view.png,freefall 3f  accel=-8.6m/s²  v=-2.34m/s,4,0.137,0.4037,0.8075,-2.3367,-21.5778,0.1372,-0.3838,5.5,12,False,,,,
drop_with_hanging_objects_20260721,3,record_20260721_105403.json,2,drop_with_hanging_objects_20260721/trial3_view.png,freefall 3f  accel=-9.4m/s²  v=-2.47m/s,5,-0.1293,0.4021,0.4467,-2.4736,-28.1658,0.001,-0.6745,6.0,19,False,,,0,
drop_with_hanging_objects_20260721,3,record_20260721_105403.json,3,drop_with_hanging_objects_20260721/trial3_view.png,freefall 4f  accel=-5.2m/s²  v=-1.15m/s,10,0.4778,0.1112,0.3708,-1.1491,-0.1021,0.5725,0.0397,9.4,18,False,,,0,
drop_with_hanging_objects_20260721,3,record_20260721_105403.json,8,drop_with_hanging_objects_20260721/trial3_view.png,freefall 3f  accel=-6.3m/s²  v=-0.59m/s,4,0.2749,0.084,0.4199,-0.5939,-9.4167,0.2521,0.0343,6.0,9,False,,,0,
drop_with_hanging_objects_20260721,4,record_20260721_105415.json,3,drop_with_hanging_objects_20260721/trial4_view.png,freefall 3f  accel=-10.6m/s²  v=-2.75m/s,4,0.2419,0.4879,1.2198,-2.7545,-21.1242,0.2433,-0.436,4.75,11,False,,,,
drop_with_hanging_objects_20260721,4,record_20260721_105415.json,5,drop_with_hanging_objects_20260721/trial4_view.png,freefall 3f  accel=-10.6m/s²  v=-0.89m/s,4,0.248,0.2241,0.5601,-0.8933,-10.6238,0.248,0.019,4.5,7,False,,,0,
drop_with_hanging_objects_20260721,4,record_20260721_105415.json,2,drop_with_hanging_objects_20260721/trial4_view.png,freefall 3f  accel=-8.5m/s²  v=-1.10m/s,11,0.2021,0.1867,0.3735,-1.1033,-17.0333,0.5856,-0.131,7.4,25,False,,,0,
drop_with_hanging_objects_20260721,5,record_20260721_105430.json,3,drop_with_hanging_objects_20260721/trial5_view.png,freefall 3f  accel=-7.3m/s²  v=-1.20m/s,3,0.3184,0.1101,0.3671,-1.2,-10.975,0.3185,0.178,2.3333,3,False,,,0,
drop_with_hanging_objects_20260721,5,record_20260721_105430.json,2,drop_with_hanging_objects_20260721/trial5_view.png,freefall 3f  accel=-8.8m/s²  v=-2.67m/s,5,0.2832,0.3134,1.567,-2.671,-30.73,0.307,-0.2272,4.6,11,False,,,,
drop_with_hanging_objects_20260721,5,record_20260721_105430.json,4,drop_with_hanging_objects_20260721/trial5_view.png,freefall 3f  accel=-8.4m/s²  v=-2.64m/s,4,0.2225,0.2884,0.412,-2.6352,-25.059,0.2225,-0.1626,13.75,23,False,,,,
drop_with_hanging_objects_20260721,5,record_20260721_105430.json,1,drop_with_hanging_objects_20260721/trial5_view.png,freefall 3f  accel=-8.6m/s²  v=-1.74m/s,6,0.5041,0.1752,0.876,-1.7442,-17.1533,0.4915,-0.0793,4.1667,7,False,,,0,
no_drop_hanging_objects_20260721,2,record_20260721_104257.json,12,no_drop_hanging_objects_20260721/trial2_view.png,freefall 3f  accel=-6.5m/s²  v=-1.84m/s,4,0.4391,0.1262,1.2618,-1.8365,-16.3713,0.418,-0.1953,3.75,5,False,,,0,
no_drop_hanging_objects_20260721,3,record_20260721_104307.json,1,no_drop_hanging_objects_20260721/trial3_view.png,freefall 3f  accel=-3.7m/s²  v=-0.74m/s,5,0.23,0.0529,0.2644,-0.7417,-3.7208,0.2406,0.1295,4.4,8,False,,,0,
no_drop_hanging_objects_20260721,3,record_20260721_104307.json,3,no_drop_hanging_objects_20260721/trial3_view.png,freefall 3f  accel=-3.7m/s²  v=-1.14m/s,3,0.3749,0.4008,1.002,-1.1444,-13.0271,0.375,-0.0827,2.6667,4,False,,,0,
no_drop_hanging_objects_20260721,4,record_20260721_104320.json,2,no_drop_hanging_objects_20260721/trial4_view.png,freefall 3f  accel=-6.2m/s²  v=-1.00m/s,5,0.2177,0.1282,0.2136,-1.0017,-9.225,0.2177,0.0563,3.6,7,False,,,0,
no_drop_hanging_objects_20260721,5,record_20260721_104330.json,1,no_drop_hanging_objects_20260721/trial5_view.png,freefall 3f  accel=-6.3m/s²  v=-0.94m/s,7,0.1231,0.0949,0.1581,-0.935,-9.475,0.149,-0.015,4.7143,8,False,,,0,
no_drop_hanging_objects_20260721,5,record_20260721_104330.json,3,no_drop_hanging_objects_20260721/trial5_view.png,freefall 3f  accel=-6.3m/s²  v=-1.72m/s,3,0.5952,0.3456,1.152,-1.7183,-25.0083,0.5955,0.08,2.6667,4,False,,,0,
no_drop_hanging_objects_20260721,5,record_20260721_104330.json,7,no_drop_hanging_objects_20260721/trial5_view.png,freefall 3f  accel=-6.2m/s²  v=-2.21m/s,3,0.7304,0.7381,1.8453,-2.2075,-24.725,0.7305,-0.1525,2.6667,4,False,,,0,
sphere_person,,record_raw_20260804_124740.json,manual,sphere_person/record_raw_20260804_124740_manual_track.png,peak=0.79m  descent=2f  drop=1.22m  avg_v=6.09m/s,3,0.7883,1.2188,6.0941,-5.9843,2.4275,0.7885,-0.4326,11.0,24,False,1,,1,
sphere_person,,record_raw_20260804_124713.json,manual,sphere_person/record_raw_20260804_124713_manual_track.png,peak=1.03m  descent=2f  drop=1.55m  avg_v=7.75m/s,3,1.0293,1.5499,7.7493,-8.7514,-16.5643,1.0295,-0.5551,4.0,7,False,1,,1,
sphere_person,,record_raw_20260804_124645.json,manual,sphere_person/record_raw_20260804_124645_manual_track.png,peak=1.03m  descent=2f  drop=1.76m  avg_v=8.79m/s,3,1.0293,1.7576,8.7881,-8.3725,7.925,1.0295,-0.7243,3.0,4,False,1,,1,
sphere_person,,record_raw_20260804_124529.json,manual,sphere_person/record_raw_20260804_124529_manual_track.png,peak=0.83m  descent=2f  drop=1.39m  avg_v=6.95m/s,3,0.8305,1.3892,6.9458,-7.0156,-0.5907,0.8307,-0.5665,19.0,33,False,1,,1,
sphere_person,,record_raw_20260804_124446.json,manual,sphere_person/record_raw_20260804_124446_manual_track.png,peak=0.74m  descent=2f  drop=1.41m  avg_v=7.05m/s,3,0.7423,1.4106,7.0532,-9.4533,-40.6905,0.7424,-0.7413,4.3333,7,False,1,,1,
sphere_person,,record_raw_20260804_131738.json,manual,sphere_person/record_raw_20260804_131738_manual_track.png,peak=0.72m  descent=2f  drop=1.37m  avg_v=6.85m/s,3,0.7224,1.3696,6.848,-8.2836,-24.1075,0.7225,-0.6931,15.3333,37,False,1,,1,
sphere_person,,record_raw_20260804_131759.json,manual,sphere_person/record_raw_20260804_131759_manual_track.png,peak=0.81m  descent=2f  drop=1.17m  avg_v=5.86m/s,3,0.8111,1.1724,5.8618,-4.8924,17.2012,0.8112,-0.3392,10.3333,21,False,1,,1,
sphere_person,,record_raw_20260804_131816.json,manual,sphere_person/record_raw_20260804_131816_manual_track.png,peak=0.78m  descent=2f  drop=1.25m  avg_v=6.27m/s,3,0.7848,1.2548,6.2741,-7.3873,-18.6067,0.785,-0.5064,4.3333,6,False,1,,1,
sphere_person,,record_raw_20260804_131832.json,manual,sphere_person/record_raw_20260804_131832_manual_track.png,peak=0.81m  descent=2f  drop=1.51m  avg_v=7.56m/s,3,0.8055,1.511,7.5551,-9.725,-36.6833,0.8057,-0.7725,3.6667,6,False,1,,1,
sphere_person,,record_raw_20260804_131850.json,manual,sphere_person/record_raw_20260804_131850_manual_track.png,peak=0.96m  descent=2f  drop=1.44m  avg_v=7.19m/s,3,0.9558,1.4382,7.191,-9.6455,-41.6103,0.956,-0.557,13.3333,29,False,1,,1,
